"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTX2",6.61777766592765e-72,0.681157857229193,0.717,0.368,3.8958857119316e-67,"11","FTX"
"TFAP2A1",8.36941793408077e-72,0.414606218636058,0.447,0.151,4.92707633779335e-67,"11","TFAP2A"
"HOOK21",8.60904532399179e-72,0.510752799993336,0.591,0.255,5.06814498223397e-67,"11","HOOK2"
"AJUBA",1.20834515117659e-71,0.251831109658788,0.229,0.022,7.1135279049766e-67,"11","AJUBA"
"S100A105",1.43102656929298e-71,0.808595625294694,0.87,0.524,8.4244534134278e-67,"11","S100A10"
"TM4SF11",1.6616705680669e-71,0.35268614185728,0.77,0.357,9.78225463420983e-67,"11","TM4SF1"
"C19orf33",2.28604026129688e-71,0.396728071226761,0.348,0.078,1.34579190182547e-66,"11","C19orf33"
"BTG31",3.60252557217287e-71,0.611109666172927,0.665,0.306,2.12080680433817e-66,"11","BTG3"
"ITPKC1",3.65005267421709e-71,0.566610876930817,0.547,0.207,2.1487860093116e-66,"11","ITPKC"
"RPS93",3.71712479657525e-71,0.497486868627761,0.98,0.983,2.18827136774385e-66,"11","RPS9"
"AC122718.1",6.85577417671465e-71,0.458039646579382,0.407,0.106,4.03599425783191e-66,"11","AC122718.1"
"NGFR1",7.18082651470988e-71,0.278296627529416,0.249,0.03,4.22735256920971e-66,"11","NGFR"
"HAP1",9.64508648271139e-71,0.293641458375953,0.207,0.017,5.67806241237219e-66,"11","HAP1"
"TCEAL93",1.02988443143408e-70,0.602474467408292,0.648,0.298,6.06292964785245e-66,"11","TCEAL9"
"TMEM1733",1.08474975225379e-70,0.376600289887939,0.496,0.155,6.38592179151809e-66,"11","TMEM173"
"GOLGB12",1.61405698140208e-70,0.722207534717263,0.919,0.627,9.50195344951404e-66,"11","GOLGB1"
"RPL285",1.77800702088346e-70,0.600694465974819,0.995,0.984,1.04671273319409e-65,"11","RPL28"
"KLF31",2.02878821889636e-70,0.601849981648397,0.722,0.366,1.19434762446429e-65,"11","KLF3"
"MSLN",2.47706676596956e-70,0.325409054042903,0.194,0.017,1.45824920512628e-65,"11","MSLN"
"AREG4",3.01582176252012e-70,0.927890300198397,0.728,0.38,1.77541427159559e-65,"11","AREG"
"MAGI2-AS32",5.58676711748548e-70,0.361534070057612,0.411,0.111,3.2889298020637e-65,"11","MAGI2-AS3"
"MMP10",6.5861072240993e-70,0.640800796747635,0.164,0.004,3.87724132282726e-65,"11","MMP10"
"SOD14",7.93611270329805e-70,0.589188662568285,0.875,0.589,4.67198954843156e-65,"11","SOD1"
"ID32",1.23277689065724e-69,0.445593739316497,0.453,0.138,7.25735755529917e-65,"11","ID3"
"NCL5",1.38483203826329e-69,0.639786634889036,0.94,0.734,8.15250620925596e-65,"11","NCL"
"SKIL4",1.77297921754545e-69,0.660000735721351,0.733,0.372,1.043752865369e-64,"11","SKIL"
"CDC42EP32",2.1355615594471e-69,0.434186063360817,0.537,0.205,1.25720509004651e-64,"11","CDC42EP3"
"PPFIBP12",2.53874593576149e-69,0.410366664624374,0.5,0.182,1.49455973238279e-64,"11","PPFIBP1"
"KDM5B3",4.20035656791002e-69,0.597708269811258,0.663,0.326,2.47274991152863e-64,"11","KDM5B"
"ZFP36L14",5.01284104491813e-69,0.599279392786655,0.977,0.728,2.9510595231433e-64,"11","ZFP36L1"
"ALDH1A31",5.19025515210802e-69,0.28216963987015,0.64,0.242,3.05550320804599e-64,"11","ALDH1A3"
"ANKLE22",6.32768148299352e-69,0.709205045395776,0.682,0.333,3.72510608903828e-64,"11","ANKLE2"
"MTUS12",7.57203833611438e-69,0.555357874920895,0.76,0.368,4.45765896847054e-64,"11","MTUS1"
"CDH12",9.73489057397113e-69,0.530613437182877,0.593,0.233,5.7309300808968e-64,"11","CDH1"
"PLXNA2",1.07378260535106e-68,0.305280376494851,0.274,0.044,6.32135819770171e-64,"11","PLXNA2"
"CNN23",1.07776454998984e-68,0.471927904219589,0.696,0.356,6.34479990579021e-64,"11","CNN2"
"CLIC31",1.80403521601616e-68,0.326219165035782,0.295,0.04,1.06203553166871e-63,"11","CLIC3"
"TP53TG1",3.93620768613099e-68,0.435874091911216,0.443,0.139,2.31724546482531e-63,"11","TP53TG1"
"FAT2",4.30172886288404e-68,0.308069939570104,0.26,0.042,2.53242778157983e-63,"11","FAT2"
