"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAMB11",1.87348068832838e-251,1.41476169630661,0.766,0.119,1.10291808121892e-246,"8","LAMB1"
"MYL91",1.09925454654543e-249,1.25626614391674,0.789,0.161,6.47131151551296e-245,"8","MYL9"
"ANK21",3.41988619254004e-249,1.38351411112322,0.568,0.031,2.01328700154832e-244,"8","ANK2"
"AHNAK2",1.02527009770634e-248,1.35523827869053,0.61,0.051,6.0357650651972e-244,"8","AHNAK2"
"CFD1",6.56170605733794e-243,3.18009474171255,0.863,0.364,3.86287635595485e-238,"8","CFD"
"GFPT21",1.35340952607623e-241,1.03419958820149,0.586,0.042,7.96752188001077e-237,"8","GFPT2"
"ABCA91",2.13574093025348e-240,1.13130610765916,0.677,0.077,1.25731068564022e-235,"8","ABCA9"
"CXCL121",4.12081730475367e-239,1.52022895501157,0.702,0.105,2.42592514730848e-234,"8","CXCL12"
"IGF11",7.84436994063579e-239,2.16299698523425,0.695,0.108,4.61798058405229e-234,"8","IGF1"
"PID11",8.96346353832e-239,1.00363841472115,0.643,0.064,5.27679098500898e-234,"8","PID1"
"OGN1",1.00426419250639e-238,1.552031726054,0.53,0.026,5.91210330128511e-234,"8","OGN"
"LGALS12",1.90699334635917e-237,2.03889432376029,0.939,0.521,1.12264698300164e-232,"8","LGALS1"
"MT1E1",5.31721064580115e-236,2.08332721103431,0.755,0.163,3.13024190718314e-231,"8","MT1E"
"PRELP1",5.68306683062475e-236,1.70861229450869,0.741,0.139,3.34562144318879e-231,"8","PRELP"
"FBLN51",2.28504389218944e-234,1.33487573487583,0.789,0.204,1.34520533933192e-229,"8","FBLN5"
"SVEP11",3.49311487088333e-234,1.14538772862702,0.6,0.053,2.05639672448901e-229,"8","SVEP1"
"FAP",5.67713832659372e-233,1.22896669981736,0.506,0.017,3.34213133286572e-228,"8","FAP"
"RTN43",1.00075601191318e-232,1.51406700291676,0.955,0.611,5.89145064213289e-228,"8","RTN4"
"S100A62",6.48770690720906e-232,2.25839611636728,0.979,0.699,3.81931305627397e-227,"8","S100A6"
"ELN1",2.78459327455871e-230,1.38770342629025,0.614,0.071,1.63929006073271e-225,"8","ELN"
"SPON21",2.22209621381405e-229,1.30889347641895,0.614,0.066,1.30814804107233e-224,"8","SPON2"
"TGFBR31",4.27749397400642e-228,1.59057475495196,0.763,0.189,2.51816070249758e-223,"8","TGFBR3"
"C1orf211",1.05409449383567e-227,1.15279851679579,0.686,0.119,6.20545428521058e-223,"8","C1orf21"
"GPX81",2.32643095080637e-227,0.874274035558116,0.578,0.057,1.36956990073971e-222,"8","GPX8"
"MFGE81",1.69170616974623e-226,1.49712441470243,0.845,0.268,9.95907422129608e-222,"8","MFGE8"
"CPE1",2.39164292267435e-226,1.53166606767953,0.661,0.096,1.40796018857839e-221,"8","CPE"
"RARRES21",1.4586205150707e-225,1.39214100657559,0.699,0.107,8.58689897222121e-221,"8","RARRES2"
"DPYSL22",1.63023678466411e-224,1.32832439731617,0.827,0.226,9.5972039513176e-220,"8","DPYSL2"
"MSX11",6.78571753570164e-223,0.980908698555294,0.578,0.053,3.99475191326756e-218,"8","MSX1"
"PLXDC21",1.0077044115279e-222,1.38530119803542,0.827,0.2,5.93235587066475e-218,"8","PLXDC2"
"SOD31",1.4164341993609e-222,1.15996899414769,0.618,0.068,8.33854813163764e-218,"8","SOD3"
"ECM11",7.00304968213863e-222,1.00427193774649,0.539,0.037,4.12269534787501e-217,"8","ECM1"
"SERPINH11",2.92526662902878e-221,1.23770465221638,0.692,0.132,1.72210446450924e-216,"8","SERPINH1"
"FIBIN1",9.52153838999589e-220,1.02996996492662,0.544,0.041,5.60532965019058e-215,"8","FIBIN"
"NOVA11",9.59345228095249e-220,0.901229113924602,0.628,0.067,5.64766535779673e-215,"8","NOVA1"
"TIMP12",2.52989518652992e-219,1.93965266774705,0.944,0.415,1.48934929631017e-214,"8","TIMP1"
"TMEM176B2",1.69287448798806e-218,1.19052645594468,0.635,0.086,9.96595211078572e-214,"8","TMEM176B"
"CD341",9.84781955117595e-218,1.11204582780575,0.609,0.064,5.79741136977728e-213,"8","CD34"
"AOX11",1.12071148986338e-217,1.20918070291272,0.59,0.065,6.59762854082571e-213,"8","AOX1"
"SAMHD13",1.38977919575062e-217,1.39222906759135,0.868,0.289,8.18163012538389e-213,"8","SAMHD1"
"OAF1",1.29322987202421e-213,1.13580400409027,0.666,0.126,7.61324425660653e-209,"8","OAF"
"SNED11",4.02638131023908e-212,1.08480872168073,0.556,0.058,2.37033067733774e-207,"8","SNED1"
"CAVIN31",1.56677523503281e-211,0.921330828860965,0.64,0.094,9.22360580863816e-207,"8","CAVIN3"
"MME1",2.16725194404946e-210,1.09781843084282,0.558,0.057,1.27586121946192e-205,"8","MME"
"CDH111",3.56359026637062e-210,1.46987327392658,0.574,0.069,2.09788558981239e-205,"8","CDH11"
"EMILIN11",4.43517419325731e-208,0.874170077967706,0.519,0.04,2.61098704757058e-203,"8","EMILIN1"
"PCDH92",3.9557525523345e-206,1.05344898428909,0.588,0.072,2.32875152755932e-201,"8","PCDH9"
"ZEB11",8.09093022405203e-206,1.19443809534838,0.741,0.164,4.76313062289943e-201,"8","ZEB1"
"MIR100HG1",1.55720703362975e-205,0.722148945252814,0.473,0.022,9.16727780697836e-201,"8","MIR100HG"
"PDPN",2.44777235631513e-205,0.919719424548284,0.542,0.044,1.44100358616272e-200,"8","PDPN"
"BGN1",4.6800103620851e-205,1.89462486131707,0.573,0.071,2.7551221001595e-200,"8","BGN"
"PSAP3",1.59195136649397e-203,1.33982639797757,0.96,0.667,9.37181769454998e-199,"8","PSAP"
"ANGPTL21",2.27288127266123e-203,0.773914645807221,0.497,0.031,1.33804520521567e-198,"8","ANGPTL2"
"TMEM176A1",2.62957552344016e-203,1.10632003053877,0.575,0.067,1.54803111064922e-198,"8","TMEM176A"
"GGT51",3.3562570771203e-203,1.02655519708096,0.613,0.081,1.97582854130072e-198,"8","GGT5"
"ZBTB203",1.0063209236527e-202,1.23637002353651,0.941,0.51,5.92421127754343e-198,"8","ZBTB20"
"CYP1B11",1.0206173935311e-202,1.35376424965093,0.555,0.052,6.00837459571757e-198,"8","CYP1B1"
"NBL11",2.68609903230404e-202,1.15710553156402,0.613,0.09,1.58130650031739e-197,"8","NBL1"
"NDN1",4.00827010201975e-202,0.83495925341926,0.629,0.106,2.35966860905903e-197,"8","NDN"
"DNM1",2.21205060273839e-201,0.770494053720163,0.479,0.027,1.30223418983209e-196,"8","DNM1"
"TSPAN41",3.83953458337988e-201,1.03698907179664,0.694,0.161,2.26033400923574e-196,"8","TSPAN4"
"PRRX21",1.56290659067281e-200,0.641575539840257,0.459,0.02,9.20083109929085e-196,"8","PRRX2"
"HTRA31",2.44720629680665e-200,1.09935089076443,0.549,0.054,1.44067034693007e-195,"8","HTRA3"
"MAGI2-AS31",2.78292695141747e-200,0.893616681522753,0.628,0.103,1.63830909629946e-195,"8","MAGI2-AS3"
"SELENOP1",7.65180186882985e-200,1.30904125171306,0.885,0.413,4.50461576018013e-195,"8","SELENOP"
"CST32",1.82806915908538e-199,1.62941639846024,0.97,0.857,1.07618431395356e-194,"8","CST3"
"SDC21",6.25885352343947e-199,0.978120805667791,0.635,0.112,3.68458706924882e-194,"8","SDC2"
"GPC31",2.98146695112701e-198,1.14060739898189,0.522,0.047,1.75518959412847e-193,"8","GPC3"
"CILP1",1.90306252607811e-197,2.58480336475762,0.558,0.069,1.12033290910218e-192,"8","CILP"
"KANK21",6.20265256480693e-196,0.954170279235969,0.628,0.119,3.65150156490184e-191,"8","KANK2"
"PCDH181",1.31027680152282e-195,0.761505611029424,0.532,0.052,7.71359953056483e-191,"8","PCDH18"
"CD632",3.02440463338138e-195,1.39470007840574,0.984,0.838,1.78046700767162e-190,"8","CD63"
"SRPX1",7.21146087837864e-195,0.982613973276899,0.643,0.092,4.2453870191015e-190,"8","SRPX"
"SULF1",1.91241688464781e-194,1.03026230969275,0.44,0.02,1.12583981999217e-189,"8","SULF1"
"PROS11",2.38980652883695e-194,0.756622733836986,0.536,0.053,1.40687910352631e-189,"8","PROS1"
"COLEC121",1.87741823074502e-193,1.04340241157981,0.54,0.06,1.10523611243959e-188,"8","COLEC12"
"TWIST21",7.13636925812626e-193,0.703127480248258,0.468,0.03,4.20118058225893e-188,"8","TWIST2"
"TACC12",1.19109836710239e-192,1.19172923392288,0.88,0.323,7.01199608713175e-188,"8","TACC1"
"PCOLCE2",8.05522295821265e-192,1.11918074222955,0.428,0.019,4.74210975549978e-187,"8","PCOLCE2"
"ZNF503",7.6558956320143e-191,1.13255320843305,0.654,0.135,4.50702575856682e-186,"8","ZNF503"
"ZCCHC241",1.33761179138676e-188,0.894638806912349,0.614,0.097,7.87452061589384e-184,"8","ZCCHC24"
"KLF91",1.34341167048713e-188,1.4910674232139,0.899,0.483,7.90866450415776e-184,"8","KLF9"
"MXRA71",6.30495336279685e-188,0.937106962162715,0.712,0.2,3.71172604467851e-183,"8","MXRA7"
"FKBP101",9.14230130213884e-187,0.665474198401309,0.481,0.035,5.38207277656913e-182,"8","FKBP10"
"HSPG21",2.54481585943088e-186,0.942471141243355,0.749,0.183,1.49813309644696e-181,"8","HSPG2"
"ANXA22",7.82651062879338e-186,1.41673583436882,0.967,0.624,4.60746680717066e-181,"8","ANXA2"
"BNC22",4.73380799765861e-184,0.848636565947605,0.51,0.052,2.78679276822162e-179,"8","BNC2"
"AKR1C11",1.25904304692214e-183,1.1901588690318,0.628,0.12,7.41198641723063e-179,"8","AKR1C1"
"S100A132",3.20260538922584e-183,1.24050024393855,0.869,0.388,1.88537379263725e-178,"8","S100A13"
"ANGPTL11",9.09690022133442e-183,1.32037553906669,0.628,0.144,5.35534516029957e-178,"8","ANGPTL1"
"CLMP1",1.0226240117216e-182,0.659980346472135,0.498,0.044,6.02018755700508e-178,"8","CLMP"
"CLU1",9.09748432852711e-182,1.52436403618306,0.93,0.44,5.35568902420391e-177,"8","CLU"
"CAV11",2.05162958539197e-181,1.37127661877469,0.677,0.141,1.20779433692025e-176,"8","CAV1"
"PLS31",6.43586782736625e-180,0.762804042919274,0.571,0.083,3.78879538997051e-175,"8","PLS3"
"GLI31",3.61743490176849e-179,0.667439923161915,0.471,0.047,2.12958392667111e-174,"8","GLI3"
"EHD21",9.18668211745738e-179,0.831602031934097,0.608,0.113,5.40819976254716e-174,"8","EHD2"
"FTL2",8.20812389249178e-178,1.20823516191014,0.997,0.984,4.83212253550991e-173,"8","FTL"
"SH3D191",1.76441471732823e-177,0.934031966374009,0.669,0.166,1.03871094409113e-172,"8","SH3D19"
"LMNA2",3.71874842954148e-176,1.33616040220015,0.956,0.5,2.18922720047107e-171,"8","LMNA"
"S100A102",8.00609340207223e-176,1.92239825708198,0.902,0.521,4.71318718579992e-171,"8","S100A10"
"OMD1",1.26463450816996e-175,0.738723760271181,0.421,0.02,7.44490334959653e-171,"8","OMD"
"OLFML2B",1.51150235631175e-175,0.816972500434183,0.457,0.03,8.89821437160728e-171,"8","OLFML2B"
"ITGB5",2.75014544788218e-175,0.962607728596379,0.624,0.147,1.61901062516824e-170,"8","ITGB5"
"ADAM331",5.77310454923057e-175,0.689349144200452,0.428,0.021,3.39862664813203e-170,"8","ADAM33"
"OLFML11",7.03269606484212e-175,0.675366776529447,0.432,0.024,4.14014817337256e-170,"8","OLFML1"
"EPB41L22",9.71945513784244e-175,1.05766705715383,0.732,0.191,5.72184323964784e-170,"8","EPB41L2"
"ACKR32",1.70645284290202e-174,1.37492780577622,0.533,0.065,1.00458878861642e-169,"8","ACKR3"
"SFRP4",4.67934629824106e-174,1.0357636922657,0.375,0.005,2.75473116577451e-169,"8","SFRP4"
"RBMS31",3.45011578968219e-173,0.843001227907891,0.652,0.136,2.03108316538591e-168,"8","RBMS3"
"SLIT31",1.91295298926967e-172,1.10862633138333,0.529,0.081,1.12615542478306e-167,"8","SLIT3"
"RSPO31",2.05837746264293e-172,0.932066557850388,0.466,0.042,1.21176681225789e-167,"8","RSPO3"
"SYNE11",9.45181072958261e-172,1.01563596587774,0.75,0.201,5.56428097650528e-167,"8","SYNE1"
"FERMT22",1.37692391194123e-171,0.933890786491888,0.723,0.223,8.10595106959805e-167,"8","FERMT2"
"C11orf962",6.55849837521613e-170,1.38529740890235,0.681,0.16,3.86098799348974e-165,"8","C11orf96"
"RCN31",7.90162413227995e-170,0.678090739779873,0.478,0.051,4.6516861266732e-165,"8","RCN3"
"FHL11",1.57633637757322e-169,0.993096947204653,0.516,0.069,9.27989225477356e-165,"8","FHL1"
"AR1",1.74992248787303e-169,0.8933612395347,0.53,0.068,1.03017936861085e-164,"8","AR"
"COL5A11",4.12845568415343e-169,0.888487891859546,0.465,0.043,2.43042186126113e-164,"8","COL5A1"
"CDKN1C2",6.11274463649041e-168,1.06997289105615,0.686,0.196,3.59857276750191e-163,"8","CDKN1C"
"GNG111",4.93480732894465e-167,0.780541765738776,0.606,0.1,2.90512107454972e-162,"8","GNG11"
"VASN",1.15929114893294e-166,0.751704345861949,0.467,0.059,6.82474699376824e-162,"8","VASN"
"SPARCL11",3.30724126784245e-166,0.901101717947107,0.801,0.262,1.94697293437885e-161,"8","SPARCL1"
"BICC11",1.00225268217171e-165,0.732036456894779,0.491,0.057,5.90026153994483e-161,"8","BICC1"
"RECK1",1.09297189166667e-165,0.699966676167573,0.514,0.083,6.43432552624169e-161,"8","RECK"
"LAPTM4A2",1.57097472352346e-165,1.1522377114994,0.888,0.571,9.24832819738259e-161,"8","LAPTM4A"
"SEPT112",2.12811646829491e-165,0.969608552648456,0.704,0.213,1.25282216488521e-160,"8","SEPT11"
"DPYSL3",2.4195903159906e-165,0.766344828875806,0.443,0.038,1.42441281902367e-160,"8","DPYSL3"
"NFATC41",2.5296973870544e-165,0.670759246818197,0.44,0.039,1.48923285175893e-160,"8","NFATC4"
"RUNX1T11",4.20147127436573e-165,0.871070908096354,0.62,0.135,2.47340613921911e-160,"8","RUNX1T1"
"SH3PXD2B2",6.24211617116847e-165,1.0192840495493,0.632,0.154,3.67473378996688e-160,"8","SH3PXD2B"
"DIO2",1.02207141442784e-164,1.4825568380736,0.38,0.014,6.01693441673671e-160,"8","DIO2"
"COL4A21",2.78802688955064e-163,0.675265697418548,0.685,0.147,1.64131142987846e-158,"8","COL4A2"
"ID31",4.11346578726915e-163,1.39317912970192,0.624,0.131,2.42159730896535e-158,"8","ID3"
"PTPRG1",1.18067453405306e-162,0.891154723699962,0.662,0.156,6.95063098197037e-158,"8","PTPRG"
"NFIC2",3.11864571774059e-162,1.13662305602463,0.896,0.493,1.83594673403388e-157,"8","NFIC"
"LEPROT2",6.28990966523836e-162,1.06750647545731,0.858,0.397,3.70286981992582e-157,"8","LEPROT"
"REV3L1",7.6095346260248e-162,1.30875637486693,0.741,0.285,4.4797330343408e-157,"8","REV3L"
"PCSK5",8.8296955228872e-162,0.978109010922973,0.455,0.046,5.1980417543237e-157,"8","PCSK5"
"HIF3A1",1.09624823210395e-161,0.802051062516793,0.547,0.082,6.45361334239597e-157,"8","HIF3A"
"EMP34",1.27258851389805e-160,1.41527246457023,0.819,0.365,7.49172858131781e-156,"8","EMP3"
"LRRN4CL",1.70620834356752e-160,0.583596036451455,0.383,0.014,1.0044448518582e-155,"8","LRRN4CL"
"TPM41",2.16539728583532e-159,1.59899118388641,0.926,0.532,1.27476938217126e-154,"8","TPM4"
"MRGPRF1",1.11789799644237e-158,0.666090204216772,0.386,0.021,6.58106550505621e-154,"8","MRGPRF"
"DLC11",1.56020285322719e-158,0.712485386876572,0.552,0.082,9.18491419694847e-154,"8","DLC1"
"IGFBP71",3.78480173037884e-158,1.67482374081022,0.801,0.343,2.22811277867402e-153,"8","IGFBP7"
"TCEAL92",7.93544417000588e-158,1.12609664561459,0.761,0.293,4.67159598288246e-153,"8","TCEAL9"
"ZNF385B",1.04632264899804e-157,0.645657180142386,0.346,0.01,6.15970143465143e-153,"8","ZNF385B"
"SEMA3C",1.18993693855997e-157,0.992848713810258,0.498,0.064,7.00515875730255e-153,"8","SEMA3C"
"RND32",1.50125068304613e-157,1.53188744851992,0.679,0.201,8.83786277109257e-153,"8","RND3"
"TCF43",2.07681650753789e-157,1.18542660124175,0.888,0.417,1.22262187798756e-152,"8","TCF4"
"ITGA51",9.56627915733168e-156,0.837413228563635,0.562,0.096,5.63166853992116e-151,"8","ITGA5"
"GJA11",1.51760883050993e-155,0.685712787055962,0.49,0.063,8.93416318521194e-151,"8","GJA1"
"GDF101",1.85865106492587e-154,0.745770294585142,0.369,0.016,1.09418788192186e-149,"8","GDF10"
"ISM1",3.44103397561582e-153,0.57270648739939,0.348,0.011,2.02573670144503e-148,"8","ISM1"
"ASPH2",1.08876995772398e-152,1.02457745718054,0.822,0.381,6.4095887411211e-148,"8","ASPH"
"XG",8.59242557813558e-152,0.470164477085628,0.322,0.004,5.05836093784842e-147,"8","XG"
"COL8A1",2.16531134848796e-151,1.0526341456214,0.371,0.017,1.27471879085486e-146,"8","COL8A1"
"CYGB1",3.33503156301476e-151,0.672943703439386,0.503,0.07,1.96333308114679e-146,"8","CYGB"
"GFRA11",6.91682234868918e-151,0.841770949937125,0.467,0.058,4.07193331667332e-146,"8","GFRA1"
"PIK3R13",1.3311599926913e-150,1.34419222823339,0.904,0.58,7.83653887697369e-146,"8","PIK3R1"
"FRMD61",1.69320640032259e-150,1.08070754809122,0.588,0.152,9.96790607869909e-146,"8","FRMD6"
"DPT1",3.12620836864418e-150,0.867430363047967,0.419,0.04,1.84039886662083e-145,"8","DPT"
"RAMP2-AS11",3.24825801657907e-150,0.675259338343478,0.434,0.047,1.9122494943601e-145,"8","RAMP2-AS1"
"ADGRD11",4.4881249443254e-150,0.666860799856839,0.354,0.015,2.64215915472436e-145,"8","ADGRD1"
"CALU2",6.35669529538069e-150,1.08852897188796,0.816,0.4,3.74218652039061e-145,"8","CALU"
"RHOBTB32",1.15861912636441e-148,1.08810170398939,0.876,0.424,6.82079079690727e-144,"8","RHOBTB3"
"NFIB2",2.47023483652355e-148,1.00479359693792,0.954,0.452,1.45422724826141e-143,"8","NFIB"
"GLUL3",2.48401212320552e-148,1.56299471807106,0.913,0.458,1.46233793693109e-143,"8","GLUL"
"MGP3",2.65305122085015e-148,1.47034192438764,0.975,0.841,1.56185125371448e-143,"8","MGP"
"LPP2",7.34697257502657e-148,0.992807286468426,0.871,0.447,4.32516275491815e-143,"8","LPP"
"S100A43",7.73187929615731e-148,1.73983273749421,0.867,0.476,4.55175734164781e-143,"8","S100A4"
"RASSF81",1.44979723934191e-147,0.739110970674374,0.502,0.093,8.53495634800579e-143,"8","RASSF8"
"SQSTM12",2.23444596849741e-147,1.08149533923615,0.968,0.637,1.31541834165443e-142,"8","SQSTM1"
"GLT8D21",3.35656715694517e-147,0.548892398937237,0.392,0.034,1.97601108529362e-142,"8","GLT8D2"
"ADH51",3.38176235615903e-147,1.019664380018,0.772,0.345,1.99084349907082e-142,"8","ADH5"
"MAB21L2",4.18637174196737e-146,0.536147360794451,0.319,0.008,2.46451704449619e-141,"8","MAB21L2"
"SRPX21",9.8369542087515e-146,0.652388352656807,0.482,0.063,5.791014942692e-141,"8","SRPX2"
"STOM1",1.26688805855223e-145,0.936919713450874,0.771,0.275,7.458170000697e-141,"8","STOM"
"CYB5R31",4.58449700052865e-145,0.981267663566498,0.788,0.336,2.69889338421121e-140,"8","CYB5R3"
"ADGRA21",5.56093526568749e-145,0.563387198928646,0.392,0.03,3.27372259091023e-140,"8","ADGRA2"
"ANTXR1",7.98203086445939e-145,0.853750650004825,0.502,0.088,4.69902156990724e-140,"8","ANTXR1"
"DAB22",1.38863561418421e-144,0.895674278590062,0.753,0.262,8.17489786070246e-140,"8","DAB2"
"CRTAP2",1.84943426960252e-144,0.976873586600999,0.756,0.318,1.088761954515e-139,"8","CRTAP"
"LOX1",2.03397598269558e-144,0.860268182161566,0.467,0.058,1.19740166101289e-139,"8","LOX"
"HMCN1",2.03573983273567e-144,0.882565850697167,0.402,0.039,1.19844003953149e-139,"8","HMCN1"
"PROCR1",4.12121511966808e-144,0.806625490795551,0.386,0.036,2.4261593409486e-139,"8","PROCR"
"LGALS32",6.81627469615565e-144,1.13699720203658,0.94,0.565,4.01274091362683e-139,"8","LGALS3"
"NPR11",1.11807571743492e-143,0.750572559176604,0.376,0.031,6.58211174853936e-139,"8","NPR1"
"EEA11",1.54071600129291e-143,1.27116366102738,0.794,0.385,9.07019509961137e-139,"8","EEA1"
"MFAP2",5.56807000246907e-143,0.614760541740883,0.387,0.037,3.27792281045354e-138,"8","MFAP2"
"SNX211",8.02124135862208e-143,0.566602499469555,0.435,0.059,4.72210478782082e-138,"8","SNX21"
"GAS72",1.02773816604818e-142,0.764083880252557,0.507,0.086,6.05029458352564e-138,"8","GAS7"
"ANXA41",1.03810079247861e-142,0.919047059347548,0.657,0.224,6.11129936532159e-138,"8","ANXA4"
"ANPEP1",2.79294071200369e-142,0.668793435051837,0.501,0.084,1.64420419715657e-137,"8","ANPEP"
"MT1X1",1.07942312924241e-141,2.30243714494961,0.803,0.424,6.35456396185008e-137,"8","MT1X"
"ABLIM11",1.3221912063323e-141,1.218790945105,0.811,0.432,7.78373963167825e-137,"8","ABLIM1"
"CCN12",1.55488351343073e-141,1.3605622116109,0.686,0.22,9.15359924356671e-137,"8","CCN1"
"PKD21",1.65740972849797e-141,0.603401677449552,0.497,0.086,9.75717107166753e-137,"8","PKD2"
"NR2F21",1.88509414389048e-141,0.890972235764241,0.666,0.208,1.10975492250832e-136,"8","NR2F2"
"MAN1A11",1.89629986729274e-141,0.912530203563842,0.809,0.357,1.11635173187524e-136,"8","MAN1A1"
"SELENOM2",2.9332089771901e-141,1.02888915640092,0.877,0.543,1.72678012487181e-136,"8","SELENOM"
"PI16",3.51996020318174e-141,1.14735830591797,0.326,0.009,2.07220057161309e-136,"8","PI16"
"BHMT21",6.47978877773481e-141,0.541812711596318,0.406,0.043,3.81465165345248e-136,"8","BHMT2"
"NFIX2",6.78955968722932e-141,1.00880300501283,0.822,0.387,3.9970137878719e-136,"8","NFIX"
"EID11",1.53096859807617e-140,1.05087767139273,0.878,0.618,9.01281213687442e-136,"8","EID1"
"SOD22",2.48625248085221e-140,1.70794651014962,0.939,0.553,1.4636568354777e-135,"8","SOD2"
"PRSS231",2.01976776701633e-139,1.13400197169229,0.596,0.169,1.18903728444251e-134,"8","PRSS23"
"GOLIM41",2.56947720905048e-139,0.892803813904021,0.697,0.244,1.51265123296802e-134,"8","GOLIM4"
"AXL2",2.84501311302023e-139,0.77856610746377,0.537,0.091,1.67485921963501e-134,"8","AXL"
"PHLDB11",6.01537956805131e-139,0.66829115600023,0.489,0.08,3.5412539517118e-134,"8","PHLDB1"
"PALM",7.5868072966143e-139,0.479279979637764,0.373,0.034,4.46635345551684e-134,"8","PALM"
"MAP3K201",1.13077207399036e-138,0.752893840197849,0.614,0.175,6.65685519958123e-134,"8","MAP3K20"
"VGLL31",1.57331664784772e-138,0.643209867387539,0.377,0.032,9.26211510587953e-134,"8","VGLL3"
"TPST1",4.81415661193982e-138,0.53177933614626,0.384,0.039,2.83409399744897e-133,"8","TPST1"
"ANXA52",5.20167579436563e-138,1.23185259907238,0.911,0.611,3.06222654014304e-133,"8","ANXA5"
"SNAI21",1.15875098629977e-137,0.669237451459326,0.422,0.046,6.82156705634677e-133,"8","SNAI2"
"ZFHX33",1.24347401656233e-137,1.08234448229673,0.786,0.359,7.32033153550244e-133,"8","ZFHX3"
"CALHM21",1.43147656546308e-137,0.6495697061302,0.48,0.073,8.42710254088113e-133,"8","CALHM2"
"ANXA14",1.88467814135842e-137,0.975422739039067,0.939,0.486,1.1095100218177e-132,"8","ANXA1"
"SYNPO21",2.05781412364375e-137,0.67577702480849,0.409,0.046,1.21143517458908e-132,"8","SYNPO2"
"TNS21",3.12666489619988e-137,0.667136712922532,0.581,0.123,1.84066762439287e-132,"8","TNS2"
"CYB5A1",2.55977675593247e-136,1.13978023010137,0.732,0.315,1.50694057621745e-131,"8","CYB5A"
"MGST12",2.57035480582742e-136,1.05864611127212,0.8,0.318,1.5131678741906e-131,"8","MGST1"
"UGDH1",3.6385005576789e-136,0.866625814238267,0.563,0.124,2.14198527830557e-131,"8","UGDH"
"VEGFD1",5.00567345790026e-136,0.86771078894825,0.375,0.034,2.94683996466588e-131,"8","VEGFD"
"CXCL141",8.08799470980899e-136,1.28699578453846,0.6,0.144,4.76140248566455e-131,"8","CXCL14"
"ADAMTS51",1.03477884815375e-135,1.01720272415151,0.402,0.047,6.09174307908111e-131,"8","ADAMTS5"
"MN1",2.46341228189473e-135,0.446012086929215,0.307,0.008,1.45021081035143e-130,"8","MN1"
"ZBTB163",4.62401079481932e-135,1.01376766361436,0.814,0.379,2.72215515491013e-130,"8","ZBTB16"
"FTH13",5.50270995950138e-135,1.04434427402491,1,0.99,3.23944535315846e-130,"8","FTH1"
"ADD32",1.33571306188479e-134,0.953831081904509,0.817,0.399,7.86334279531576e-130,"8","ADD3"
"PTGFR1",1.92295231165815e-134,0.72031879563578,0.333,0.016,1.13204202587315e-129,"8","PTGFR"
"SSPN2",7.55031329320643e-134,0.769734396433933,0.583,0.15,4.44486943571063e-129,"8","SSPN"
"OSR21",9.70162288073564e-134,0.725626180333706,0.379,0.036,5.71134538988907e-129,"8","OSR2"
"PTMS2",1.29631910066975e-133,0.940672901254166,0.854,0.411,7.63143054564279e-129,"8","PTMS"
"WLS1",2.2415947131797e-133,0.694239627031116,0.587,0.157,1.31962680764889e-128,"8","WLS"
"MYOF1",4.31464389144422e-133,0.856871441144984,0.606,0.18,2.54003085889321e-128,"8","MYOF"
"DSEL1",4.9014230044908e-133,0.62352379158434,0.44,0.067,2.88546772274373e-128,"8","DSEL"
"IL6ST3",3.82834114520535e-132,0.91656084699057,0.911,0.526,2.25374443218239e-127,"8","IL6ST"
"TAGLN",4.982904320405e-132,0.939843818074227,0.573,0.163,2.93343577342242e-127,"8","TAGLN"
"SASH11",6.16736979358639e-132,0.901510604792216,0.671,0.234,3.63073059748431e-127,"8","SASH1"
"SESTD12",7.75113588086679e-132,0.783280932336745,0.745,0.285,4.56309369306628e-127,"8","SESTD1"
"BASP13",1.03887340310918e-131,1.12239508587533,0.605,0.17,6.11584772410371e-127,"8","BASP1"
"CD276",1.1726526328615e-131,0.777445989790359,0.504,0.101,6.90340604965566e-127,"8","CD276"
"CEBPD3",3.50130713772054e-131,1.2017574421771,0.974,0.646,2.06121951197608e-126,"8","CEBPD"
"EPB41L32",3.72026875505784e-131,0.561170977848566,0.47,0.078,2.19012221610255e-126,"8","EPB41L3"
"JUN3",2.56071847572935e-130,1.44556427864249,0.983,0.878,1.50749496666187e-125,"8","JUN"
"SFRP13",3.82575294564207e-130,2.03528061090765,0.825,0.461,2.25222075909949e-125,"8","SFRP1"
"FBXL71",2.34327961000788e-129,0.490698364546175,0.379,0.035,1.37948870641164e-124,"8","FBXL7"
"RAB341",2.98177155791695e-129,0.678464104320818,0.556,0.148,1.75536891614571e-124,"8","RAB34"
"RNH11",4.27024356027989e-129,0.934362977798234,0.827,0.474,2.51389238393677e-124,"8","RNH1"
"FLRT2",1.42982587357581e-128,0.442607024792354,0.316,0.022,8.41738491774082e-124,"8","FLRT2"
"FAM180A",7.3192472163159e-128,0.453059594245959,0.276,0.004,4.30884083624517e-123,"8","FAM180A"
"TPM21",8.34573794201807e-128,0.666423667446479,0.613,0.167,4.91313592646604e-123,"8","TPM2"
"GEM",1.20203377595878e-127,0.991724177070562,0.409,0.053,7.07637283906933e-123,"8","GEM"
"UAP11",1.64278603333134e-127,1.01320489461401,0.68,0.281,9.67108137822162e-123,"8","UAP1"
