"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"7088","ERGIC1",-0.127539422621072,7.3905118672802,0.44026343259849,0.506995335071962,0.844214937039871,2498,1530,1761,1576,1411,1658,1599,1602,1127,631,1419,1659,1394
"7089","ERGIC2",-0.0748105777823665,6.20251692416841,0.113446123604444,0.736254373383175,0.932739686877247,1053,667,703,603,558,687,562,685,660,188,889,739,605
"7090","ERGIC3",-0.0229106601395388,7.45843755209003,0.00897527529676978,0.924522990023919,0.983237097097108,2500,1583,1320,1652,1914,1916,1260,1458,1347,530,1915,1416,1757
"7091","ERH",-0.247380805427934,4.92665093567611,0.819229220676448,0.365405619988356,0.768526540855376,430,285,245,277,264,254,221,254,299,73,357,309,240
"7092","ERI1",0.125991348150409,3.86782626128562,0.29027656906759,0.590043352827772,0.88497386562857,173,86,71,94,87,141,88,109,144,44,272,227,150
"7093","ERI2",-0.424521866453992,4.30363918165226,3.26117070360401,0.0709384644221765,0.399553718614627,364,220,141,177,151,185,149,149,181,44,279,205,184
"7094","ERI3",-0.203767228736131,4.70489019834873,1.16803527738141,0.279805306138018,0.698806720579242,394,201,193,217,220,304,243,231,218,72,280,327,196
"7095","ERI3-IT1",0.0223316007185501,0.146356227024103,0.00180491021779261,0.966112679105035,0.993128079911145,11,8,8,4,4,1,6,4,7,2,5,23,10
"7096","ERICH1",-0.132245258932504,4.25279416652008,0.287814541429919,0.591624439212816,0.885710301020897,192,120,105,156,128,176,137,163,152,74,205,493,137
"7097","ERICH3",-1.59515575551025,1.5219077879378,9.60921486280221,0.00193603399323644,0.0578135796658955,45,21,40,26,12,28,28,15,6,2,12,6,22
"7098","ERICH5",-0.799265103124564,0.331141576657717,2.10078507499863,0.147223529091963,0.544842118827868,22,18,4,17,10,27,6,10,7,0,10,6,22
"7099","ERLEC1",0.131571649228166,6.58248916112076,0.350730692404309,0.553699794011426,0.867454380022601,1223,848,796,792,847,1008,728,961,915,323,1424,839,966
"7100","ERLIN1",0.0604968363797627,4.34969885711449,0.0978382182093185,0.754439443145774,0.938002728512325,299,135,149,144,143,171,149,171,189,60,291,338,217
"7101","ERLIN2",-0.105172529383464,6.51441319053995,0.296428174379763,0.586130348071837,0.882399352393952,1544,897,835,866,573,835,729,823,755,260,1206,958,729
"7102","ERMAP",-0.0164632625750164,4.34652133090011,0.00513030197752329,0.942899447641402,0.987684205449838,309,230,135,159,119,248,174,164,202,61,283,257,209
"7103","ERMARD",-0.211991580453981,4.7904251182826,1.1653801465898,0.280352533427586,0.698998735689881,368,245,176,250,192,254,194,201,291,75,412,446,257
"7104","ERMN",0.734050474290586,2.63611315765013,1.82521485981582,0.1766937895615,0.589902565462568,34,17,14,84,69,49,65,49,76,70,94,40,60
