"","logFC","logCPM","LR","PValue","FDR"
"CHMP4A",0.139988946632578,1.20130604974179,0.195079308439185,0.658722352402489,0.932323529567047
"GTF3C1",0.0672101730384961,6.23714569358555,0.195046974339173,0.658748845077597,0.932323529567047
"PIANP",0.229497839528709,0.0676732466955434,0.195012859516833,0.65877679961784,0.932323529567047
"AL365209.1",0.2668622407899,0.615114693796666,0.194926196991638,0.65884782620427,0.932323529567047
"AC090589.3",-0.139239277711958,1.09498220230985,0.194914958816279,0.658857038132793,0.932323529567047
"RNF7",0.0637176330399787,4.98534832340204,0.194829022523272,0.65892749057603,0.932323529567047
"FUT1",0.129723679376756,1.89304297969978,0.194788699245571,0.658960554876061,0.932323529567047
"TTC3P1",0.0987269023274405,3.29227569196623,0.194772491216423,0.658973846295454,0.932323529567047
"SENP3",-0.0954451324464186,3.59424900672675,0.194677482108652,0.659051771952747,0.932324266804134
"LTA4H",0.0698061132874038,6.22373260857582,0.194623349378762,0.659096181314072,0.932324266804134
"SERPINF2",0.185238710964082,1.31358092158603,0.194529946235381,0.6591728246538,0.932324266804134
"GBAP1",0.16130586424994,0.580741173196657,0.194490807127256,0.659204947366421,0.932324266804134
"ALS2CL",-0.0977514412727845,6.33205059723069,0.19448290657914,0.659211432066209,0.932324266804134
"SRSF8",-0.0820935953357745,5.58616198463765,0.194391747132183,0.65928626631459,0.932324266804134
"WDR59",-0.0675198799635526,4.87105949889141,0.194309153638208,0.659354086733413,0.932324266804134
"FGR",0.155121964315499,3.45348580202614,0.194276790135099,0.659380666236811,0.932324266804134
"TRAPPC9",0.0830432698411691,4.78976964968405,0.194257785025297,0.659396275988885,0.932324266804134
"CCDC146",0.0935288754489667,4.05182533113083,0.194101384612733,0.659524769330929,0.932351113839953
"SNX33",-0.0879431875327625,5.84157335042338,0.194045451954279,0.659570736736625,0.932351113839953
"RWDD2B",0.0957133754319499,4.36961044089063,0.193981053459618,0.659623671459312,0.932351113839953
"ZNF746",-0.076361807671736,4.16498187725657,0.193912456794768,0.659680068563768,0.932351113839953
"XRN1",0.062177731906895,7.13402795126149,0.193777154032345,0.659791343355088,0.932351113839953
"RYBP",-0.0738047659563635,5.2971525614335,0.193710668177685,0.659846039200128,0.932351113839953
"FAR2",-0.0849617941232488,3.56414097034008,0.193686078882715,0.659866270886704,0.932351113839953
"RCE1",-0.0862035663960849,3.82985181477512,0.193666482926837,0.659882395229795,0.932351113839953
"SLC25A23",-0.127814937729556,4.86608656903214,0.193655803397796,0.659891183187103,0.932351113839953
"TM2D2",0.0709460682902023,4.54347756998802,0.193542344745419,0.659984563763278,0.932351113839953
"ZNF286B",0.174356581719806,0.605080337527315,0.19350910219249,0.660011929774987,0.932351113839953
"LACTB2",-0.0993683594312758,3.18404720368694,0.193463894917979,0.660049149914732,0.932351113839953
"RHOJ",0.118367622087,3.24708606869013,0.193300374738573,0.660183823015519,0.932351113839953
"PWWP2B",-0.109633256014353,4.45292918758155,0.193264642373702,0.660213260777272,0.932351113839953
"FAAP100",0.0872298613361484,4.89243252549023,0.193263434138386,0.660214256226959,0.932351113839953
"ZBED6",-0.0881904389449975,5.4753362347016,0.193246693718116,0.660228048828103,0.932351113839953
"SH3RF3-AS1",0.207735498097428,0.442351035160503,0.193154977991298,0.660303626994697,0.932351113839953
"HERC2P2",0.184000330241519,4.31525283199326,0.192923451293311,0.660494511405679,0.932351113839953
"GNB3",0.13515634615864,1.25334949651722,0.192902374966902,0.660511894769728,0.932351113839953
"SMNDC1",0.0663143506823147,4.4567788051736,0.192852330966911,0.660553174673722,0.932351113839953
"NFX1",-0.0650104606027966,5.93890827358684,0.192803421597199,0.660593524826422,0.932351113839953
"MAB21L2",-0.119892636748981,2.6198469239567,0.192779308895545,0.660613420013914,0.932351113839953
"AC080162.1",-0.19340394495498,0.552232183133145,0.192687215904229,0.66068941882819,0.932351113839953
"CASP16P",-0.135867037526637,1.46883919734409,0.192648745270837,0.660721172745538,0.932351113839953
"KLC1",-0.0750114666053506,5.83843899913628,0.192608073639621,0.660754747493449,0.932351113839953
"GGA2",-0.0716710055665591,6.94251190095742,0.192543043071797,0.660808439517947,0.932351113839953
"PGGT1B",0.0747288480550579,5.46070002169263,0.192498913734486,0.660844880749267,0.932351113839953
"KIAA1671",-0.0960625119886358,6.51231353268789,0.192443777786757,0.660890418046242,0.932351113839953
"AC018607.1",-0.188350058570618,0.444826620176587,0.192397159584878,0.660928926526281,0.932351113839953
"CBFA2T2",-0.0856493176924449,4.89846073773792,0.192335855934097,0.660979574236902,0.932351113839953
